region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,거제시공설운동장,299,HM003003,01,초급속,100,경상남도 거제시 계룡로11길 26,지상주차장,34.8833758000,128.6198047000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,안정 공영주차장,253,HM003004,04,초급속,100,경상남도 통영시 광도면 황리 1645-2,옥외주차장,34.9580210000,128.4206619000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,안정 공영주차장,253,HM003004,03,초급속,100,경상남도 통영시 광도면 황리 1645-2,옥외주차장,34.9580210000,128.4206619000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,안정 공영주차장,253,HM003004,02,초급속,100,경상남도 통영시 광도면 황리 1645-2,옥외주차장,34.9580210000,128.4206619000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,안정 공영주차장,253,HM003004,01,초급속,100,경상남도 통영시 광도면 황리 1645-2,옥외주차장,34.9580210000,128.4206619000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영국제음악당,280,HM003005,02,초급속,100,경상남도 통영시 큰발개1길 38,옥외주차장,34.8259938000,128.4400333000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영국제음악당,280,HM003005,01,초급속,100,경상남도 통영시 큰발개1길 38,옥외주차장,34.8259938000,128.4400333000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,디피랑1 공영주차장,280,HM003006,02,초급속,100,경상남도 통영시 동호동 215-30,지상 주차장,34.8436580000,128.4285573000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,디피랑1 공영주차장,280,HM003006,01,초급속,100,경상남도 통영시 동호동 215-30,지상 주차장,34.8436580000,128.4285573000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,디피랑3 공영주차장,280,HM003007,02,초급속,100,경상남도 통영시 동호동 290-4,지상 주차장,34.8403997000,128.4277791000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,디피랑3 공영주차장,280,HM003007,01,초급속,100,경상남도 통영시 동호동 290-4,지상 주차장,34.8403997000,128.4277791000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,무전제2 공영주차장,299,HM003008,02,초급속,100,경상남도 통영시 무전동 1022,지상 주차장,34.8594798000,128.4237781000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,무전제2 공영주차장,299,HM003008,01,초급속,100,경상남도 통영시 무전동 1022,지상 주차장,34.8594798000,128.4237781000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,이순신공원,299,HM003009,02,초급속,100,경상남도 통영시 정량동 693,지상 주차장,34.8439898000,128.4409974000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,이순신공원,299,HM003009,01,초급속,100,경상남도 통영시 정량동 693,지상 주차장,34.8439898000,128.4409974000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,한산대첩광장지하주차장,280,HM003010,02,초급속,100,경상남도 통영시 통영해안로 267,지하주차장 b1 C8~E8 기둥 사이,34.8404207000,128.4242661000,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,한산대첩광장지하주차장,280,HM003010,01,초급속,100,경상남도 통영시 통영해안로 267,지하주차장 b1 C8~E8 기둥 사이,34.8404207000,128.4242661000,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영수영장 주차장,280,HM003011,02,초급속,100,경상남도 통영시 평인일주로 1052-27,옥외주차장,34.8583825000,128.4132844000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
